date_key,day,week,month_name,quarter,year,fiscal_period,is_weekend
2023-01-01,1,52,January,1,2023,FY2023-Q1,True
2023-01-02,2,1,January,1,2023,FY2023-Q1,False
2023-01-03,3,1,January,1,2023,FY2023-Q1,False
2023-01-04,4,1,January,1,2023,FY2023-Q1,False
2023-01-05,5,1,January,1,2023,FY2023-Q1,False
2023-01-06,6,1,January,1,2023,FY2023-Q1,False
2023-01-07,7,1,January,1,2023,FY2023-Q1,True
2023-01-08,8,1,January,1,2023,FY2023-Q1,True
2023-01-09,9,2,January,1,2023,FY2023-Q1,False
2023-01-10,10,2,January,1,2023,FY2023-Q1,False
2023-01-11,11,2,January,1,2023,FY2023-Q1,False
2023-01-12,12,2,January,1,2023,FY2023-Q1,False
2023-01-13,13,2,January,1,2023,FY2023-Q1,False
2023-01-14,14,2,January,1,2023,FY2023-Q1,True
2023-01-15,15,2,January,1,2023,FY2023-Q1,True
2023-01-16,16,3,January,1,2023,FY2023-Q1,False
2023-01-17,17,3,January,1,2023,FY2023-Q1,False
2023-01-18,18,3,January,1,2023,FY2023-Q1,False
2023-01-19,19,3,January,1,2023,FY2023-Q1,False
2023-01-20,20,3,January,1,2023,FY2023-Q1,False
2023-01-21,21,3,January,1,2023,FY2023-Q1,True
2023-01-22,22,3,January,1,2023,FY2023-Q1,True
2023-01-23,23,4,January,1,2023,FY2023-Q1,False
2023-01-24,24,4,January,1,2023,FY2023-Q1,False
2023-01-25,25,4,January,1,2023,FY2023-Q1,False
2023-01-26,26,4,January,1,2023,FY2023-Q1,False
2023-01-27,27,4,January,1,2023,FY2023-Q1,False
2023-01-28,28,4,January,1,2023,FY2023-Q1,True
2023-01-29,29,4,January,1,2023,FY2023-Q1,True
2023-01-30,30,5,January,1,2023,FY2023-Q1,False
2023-01-31,31,5,January,1,2023,FY2023-Q1,False
2023-02-01,1,5,February,1,2023,FY2023-Q1,False
2023-02-02,2,5,February,1,2023,FY2023-Q1,False
2023-02-03,3,5,February,1,2023,FY2023-Q1,False
2023-02-04,4,5,February,1,2023,FY2023-Q1,True
2023-02-05,5,5,February,1,2023,FY2023-Q1,True
2023-02-06,6,6,February,1,2023,FY2023-Q1,False
2023-02-07,7,6,February,1,2023,FY2023-Q1,False
2023-02-08,8,6,February,1,2023,FY2023-Q1,False
2023-02-09,9,6,February,1,2023,FY2023-Q1,False
2023-02-10,10,6,February,1,2023,FY2023-Q1,False
2023-02-11,11,6,February,1,2023,FY2023-Q1,True
2023-02-12,12,6,February,1,2023,FY2023-Q1,True
2023-02-13,13,7,February,1,2023,FY2023-Q1,False
2023-02-14,14,7,February,1,2023,FY2023-Q1,False
2023-02-15,15,7,February,1,2023,FY2023-Q1,False
2023-02-16,16,7,February,1,2023,FY2023-Q1,False
2023-02-17,17,7,February,1,2023,FY2023-Q1,False
2023-02-18,18,7,February,1,2023,FY2023-Q1,True
2023-02-19,19,7,February,1,2023,FY2023-Q1,True
2023-02-20,20,8,February,1,2023,FY2023-Q1,False
2023-02-21,21,8,February,1,2023,FY2023-Q1,False
2023-02-22,22,8,February,1,2023,FY2023-Q1,False
2023-02-23,23,8,February,1,2023,FY2023-Q1,False
2023-02-24,24,8,February,1,2023,FY2023-Q1,False
2023-02-25,25,8,February,1,2023,FY2023-Q1,True
2023-02-26,26,8,February,1,2023,FY2023-Q1,True
2023-02-27,27,9,February,1,2023,FY2023-Q1,False
2023-02-28,28,9,February,1,2023,FY2023-Q1,False
2023-03-01,1,9,March,1,2023,FY2023-Q1,False
2023-03-02,2,9,March,1,2023,FY2023-Q1,False
2023-03-03,3,9,March,1,2023,FY2023-Q1,False
2023-03-04,4,9,March,1,2023,FY2023-Q1,True
2023-03-05,5,9,March,1,2023,FY2023-Q1,True
2023-03-06,6,10,March,1,2023,FY2023-Q1,False
2023-03-07,7,10,March,1,2023,FY2023-Q1,False
2023-03-08,8,10,March,1,2023,FY2023-Q1,False
2023-03-09,9,10,March,1,2023,FY2023-Q1,False
2023-03-10,10,10,March,1,2023,FY2023-Q1,False
2023-03-11,11,10,March,1,2023,FY2023-Q1,True
2023-03-12,12,10,March,1,2023,FY2023-Q1,True
2023-03-13,13,11,March,1,2023,FY2023-Q1,False
2023-03-14,14,11,March,1,2023,FY2023-Q1,False
2023-03-15,15,11,March,1,2023,FY2023-Q1,False
2023-03-16,16,11,March,1,2023,FY2023-Q1,False
2023-03-17,17,11,March,1,2023,FY2023-Q1,False
2023-03-18,18,11,March,1,2023,FY2023-Q1,True
2023-03-19,19,11,March,1,2023,FY2023-Q1,True
2023-03-20,20,12,March,1,2023,FY2023-Q1,False
2023-03-21,21,12,March,1,2023,FY2023-Q1,False
2023-03-22,22,12,March,1,2023,FY2023-Q1,False
2023-03-23,23,12,March,1,2023,FY2023-Q1,False
2023-03-24,24,12,March,1,2023,FY2023-Q1,False
2023-03-25,25,12,March,1,2023,FY2023-Q1,True
2023-03-26,26,12,March,1,2023,FY2023-Q1,True
2023-03-27,27,13,March,1,2023,FY2023-Q1,False
2023-03-28,28,13,March,1,2023,FY2023-Q1,False
2023-03-29,29,13,March,1,2023,FY2023-Q1,False
2023-03-30,30,13,March,1,2023,FY2023-Q1,False
2023-03-31,31,13,March,1,2023,FY2023-Q1,False
2023-04-01,1,13,April,2,2023,FY2023-Q2,True
2023-04-02,2,13,April,2,2023,FY2023-Q2,True
2023-04-03,3,14,April,2,2023,FY2023-Q2,False
2023-04-04,4,14,April,2,2023,FY2023-Q2,False
2023-04-05,5,14,April,2,2023,FY2023-Q2,False
2023-04-06,6,14,April,2,2023,FY2023-Q2,False
2023-04-07,7,14,April,2,2023,FY2023-Q2,False
2023-04-08,8,14,April,2,2023,FY2023-Q2,True
2023-04-09,9,14,April,2,2023,FY2023-Q2,True
2023-04-10,10,15,April,2,2023,FY2023-Q2,False
2023-04-11,11,15,April,2,2023,FY2023-Q2,False
2023-04-12,12,15,April,2,2023,FY2023-Q2,False
2023-04-13,13,15,April,2,2023,FY2023-Q2,False
2023-04-14,14,15,April,2,2023,FY2023-Q2,False
2023-04-15,15,15,April,2,2023,FY2023-Q2,True
2023-04-16,16,15,April,2,2023,FY2023-Q2,True
2023-04-17,17,16,April,2,2023,FY2023-Q2,False
